,Cell name,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj
0,Arterial_Endo-intermediate_CM,linear up,0.00016891451568166563,linear,-0.000477494545653814,0.00016891451568166563,nan,0.00023837482503562537,0.5380413199530516,0.7690206599765258
1,Arterial_Endo-Fib4_COL15A1,linear up quadratic down,4.409854730573753e-05,linear_quadratic,-0.000316878219875504,0.0001678939027779023,-5.158139811340198e-06,0.0020615068805865007,0.5284517522497901,0.7642258761248952
2,Arterial_Endo-Pericyte_1,linear up quadratic down,0.00013972228624417333,linear_quadratic,-0.0006026717967938203,0.00026269895541195296,-5.124027881990819e-06,0.00023837482503562537,0.5262452653434482,0.7631226326717241
3,Arterial_Endo-Pericyte_2,linear up,5.454080773477199e-05,linear,-0.00020264611915964868,5.454080773477199e-05,nan,0.0005796416036932998,0.46175646751222055,0.7308782337561103
4,Fib2_Myofib-LYVE_PLTP_Macrophages,linear down quadratic up,-0.00012130890235674735,linear_quadratic,0.0032512090952500827,-0.00031414296465860175,8.034752595910601e-06,0.0018135387866304285,0.42669118858431476,0.7133455942921574
5,Fib2_Myofib-Lymphatic_Endo,linear down,-7.816773064020335e-05,linear,0.0016144765655113171,-7.816773064020335e-05,nan,0.0019322961878153941,0.3712049684465861,0.6856024842232931
6,Fib2_Myofib-CCL18_Macrophages,linear down quadratic up,-0.000103432896676426,linear_quadratic,0.003076454338112437,-0.0003905047980578453,1.1961329224225804e-05,0.010368802402538816,0.3559890628092989,0.6779945314046494
7,Fib2_Myofib-Monocytes,linear down,-8.267837736051557e-05,linear,0.002034913442640885,-8.267837736051557e-05,nan,0.016111731268466826,0.2099861953792176,0.6049930976896087
